,ResponseId,UserLanguage,Cry_last,qual_Q,Trigger_cause,Trigger_cause_3_TEXT,Trigger_type,Trigger_type_4_TEXT,Context,context2,context3,intense_tear,intense_time,Zintense_tear,Zintense_time,mood_1,Freq,BACS_1,BACS_2,BACS_3,BACS_4,BACS_5,BACS_6,BACS_7,BACS_8,BACS_9,BACS_10,BACS_11,BACS_12,BACS_13,BACS_14,GES_1,GES_2,GES_3,GES_4,GES_5,TMF_1,TMF_2,TMF_3,TMF_4,TMF_5,TMF_6,ZGES_1,ZGES_2,ZGES_3,ZGES_4,ZGES_5,ZTMF_1,ZTMF_2,ZTMF_3,ZTMF_4,ZTMF_5,ZTMF_6,age,gender,gender_4_TEXT,live,live_6_TEXT,live_time,birth_other,BACS_Help,BACS_social,BACS_Ind,GRE,Cry_intensity,last.cry,known,helped
11,R_3qqllQvO7Sud2gS,EN-GB,5,I last cried when I had to talk to my parents at home about getting 4s in all my subjects despite typically getting high grades. Before it I was dreading having to bring it up since they would inevitably ask about it. After it I felt pretty down and frustrated that I should not have let this happen in the first place. My parents reassured me to not feel too bad over it.,1,,1,,3,1,4,2,2,-0.543475436,-0.02089899,3,0,4,5,1,1,4,4,2,4,2,4,2,4,1,2,2,3,3,3,3,3,2,3,3,3,4,-1.643634886,-0.347461324,-1.311794299,-0.394937304,0.3870703,-0.739507144,-1.217182201,-0.639341352,-0.735334967,-0.723336485,-0.157669608,20,1,,1,,1,,3,4,1,-0.683920843,-0.282187213,2,1,1
12,R_pQ1Zh8AEgMANRQZ,EN-GB,6,,1,,1,,3,1,4,1,6,-1.41951075,2.850300731,4,NA,5,5,1,1,5,3,3,2,3,3,3,4,3,4,2,4,4,3,2,2,2,2,2,NA,1,-1.643634886,0.980019119,0.55861097,-0.394937304,-0.617737195,-1.357155765,-1.217182201,-1.272955121,-1.401426518,NA,-1.629805847,20,1,,1,,8,China,3.714285714,3.5,1.666666667,-0.799620475,0.71539499,2,1,1
13,R_2QQciIB6c6BeU1C,EN-GB,3,"Unfortunately, my gran passed away from battling with cancer. This was at her funeral. I had not shed a tear before (even when received the news), however when reading the eulogy, i broke down in tears thinking of her.",1,,1,,5,1,4,1,1,-1.41951075,-0.73869892,2,3.5,4,4,1,2,1,2,3,2,4,3,4,2,1,4,3,4,3,2,1,3,2,5,5,4,5,-0.251067568,0.980019119,-1.311794299,-1.722282979,-1.62254469,-0.739507144,-1.217182201,0.627886187,0.596848136,-0.053608445,0.333042471,20,1,,1,,1,South Australia,3.714285714,1.75,1.333333333,-0.398199219,-1.079104835,2,1,1
14,R_2CIXyMrHt7AtDMl,EN-GB,6,"Death of grandparents. Parents there as moral support. Before crying felt emotional and did not know how to react or feel with the situation. After crying, felt relieved and better.",2,,1,,2,1,4,3,2,0.332559879,-0.02089899,2,0,4,3,2,2,3,4,2,5,5,5,4,2,4,4,2,2,3,3,2,4,3,5,4,4,5,-1.643634886,-1.674941768,-1.311794299,-0.394937304,-0.617737195,-0.121858522,-0.641101309,0.627886187,-0.069243416,-0.053608445,0.333042471,20,1,,1,,8,New Zealand,3.857142857,3.5,2.666666667,-0.506175317,0.155830444,2,1,1
15,R_3HwdOD8GGhFkUgP,EN-GB,5,,3,Family,1,,2,1,4,3,1,0.332559879,-0.73869892,3,3,3,4,3,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,3,3,1,3,3,2,2,1.14149975,0.980019119,0.55861097,0.932408372,0.3870703,-0.739507144,-1.793263093,-0.639341352,-0.735334967,-1.393064526,-1.139093767,20,1,,1,,2,Sri Lanka,3,2,2.333333333,-0.221817849,-0.203069521,2,1,1
16,R_pbdczWPsaEq6hBT,EN-GB,3,"My cat who spent 8 years with me passed away and I was in Australia. Surely, I felt completely sad at the beginning. But after I gained support through my parents, I felt much better.",1,,1,,3,1,4,3,2,0.332559879,-0.02089899,1,1,5,4,2,2,1,3,3,1,4,4,4,1,2,3,3,3,3,3,3,2,2,2,2,1,2,-0.251067568,-0.347461324,-1.311794299,-0.394937304,0.3870703,-1.357155765,-1.217182201,-1.272955121,-1.401426518,-2.062792566,-1.139093767,21,1,,1,,8,Hong Kong,3.857142857,1.5,2,-0.94261783,0.155830444,2,1,1
17,R_3HTAnYst1gB9YjX,EN-GB,6,Break up,1,,1,,1,3,2,3,2,0.332559879,-0.02089899,3,0,4,4,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,3,3,3,-1.643634886,-1.674941768,-3.182199568,-0.394937304,0.3870703,-0.121858522,-0.065020417,-0.639341352,-0.735334967,-0.723336485,-0.648381688,21,1,,1,,1,,2.571428571,2,2.333333333,-0.85835606,0.155830444,2,1,0
18,R_yyAL08POraTc92N,EN-GB,4,"I was at home with my girlfriend intoxicated and she was crying because she thought she had upset me at the party we were at. After comforting her I started crying as I was upset that she was upset but also at the party, I had accidentally broken the Hawaiian lay that she had given me on the first night we met. I felt silly after because it really wasn't something to get worked up over, but my girlfriend was really comforting and reassured me that everything was ok and that I was being silly.",2,,4,Intoxication,2,1,4,3,1,0.332559879,-0.73869892,2,2,4,4,2,3,5,4,3,5,4,3,4,3,2,4,4,4,4,4,2,4,3,2,6,4,2,1.14149975,0.980019119,0.55861097,0.932408372,-0.617737195,-0.121858522,-0.641101309,-1.272955121,1.262939687,-0.053608445,-1.139093767,21,1,,1,,1,,3.714285714,4.25,2.333333333,0.093556685,-0.203069521,2,1,1
19,R_10BH1c9042ehMK5,EN-GB,5,"I was going through a rough situation. I was in my housemate's room. I felt anxiety before, and after, I was still anxious but I guess the crying helped release some of stress a little. My housemate was offering comfort.",3,Pressure and people conflict,2,,2,1,4,2,2,-0.543475436,-0.02089899,3,0,3,3,1,1,1,2,3,1,2,3,3,2,1,3,3,2,4,2,3,3,3,3,4,3,2,-0.251067568,-1.674941768,0.55861097,-1.722282979,0.3870703,-0.739507144,-0.641101309,-0.639341352,-0.069243416,-0.723336485,-1.139093767,22,1,,1,,8,Malaysia,2.857142857,1.5,1,-0.604930411,-0.282187213,2,1,1
20,R_3itbCjuqgfpkoUX,EN-GB,2,,1,,1,,5,1,4,4,1,1.208595193,-0.73869892,5,1,3,4,4,3,4,4,3,4,2,2,3,2,3,3,4,4,4,4,2,4,4,5,6,5,5,1.14149975,0.980019119,0.55861097,0.932408372,-0.617737195,-0.121858522,-0.065020417,0.627886187,1.262939687,0.616119595,0.333042471,22,1,,1,,1,,2.857142857,3.5,3.333333333,0.513446365,0.234948136,1,1,1
21,R_3Dj26BMgVHrOIBG,EN-GB,3,"Our family dog had to be put down. I was at the vet with my two sisters. We weren't expecting it before deciding to take her to the vet. She'd just been out of character and appeared weak and quiet. The more she was examined, the more the worst dawned on me. I felt nervous. Millie was brought back into the room. My other sister and her boyfriend arrived by then, and Millie looked briefly cheerful. But very quickly she rested on the table and her eyes slowly drooped again. I rested my hand on her head and cried. She was put to sleep shortly after and drifted off quickly. At this point, I didn't feel nervous, but just very close to her.",1,,1,,4,1,4,3,1,0.332559879,-0.73869892,2,4,4,4,2,1,1,2,4,1,4,5,3,1,1,3,2,3,4,4,4,5,5,4,4,4,4,-1.643634886,-0.347461324,0.55861097,0.932408372,1.391877796,0.4957901,0.511060475,-0.005727582,-0.069243416,-0.053608445,-0.157669608,22,1,,1,,4,New Zealand,3.857142857,1.25,1.333333333,0.146582041,-0.203069521,2,1,1
22,R_sSEUamZq7VRxbCp,EN-GB,3,Was during a fight with my partner. I felt better after because I had cried and often struggle to cry even when I am upset and this makes others think I’m not sad when I am,1,,1,,2,1,4,1,1,-1.41951075,-0.73869892,3,1,3,2,2,4,4,3,1,2,4,2,2,1,1,2,4,4,4,4,2,3,3,3,4,3,1,1.14149975,0.980019119,0.55861097,0.932408372,-0.617737195,-0.739507144,-0.641101309,-0.639341352,-0.069243416,-0.723336485,-1.629805847,22,1,,1,,1,,2.285714286,2.5,2.333333333,-0.131594049,-1.079104835,2,1,1
23,R_3oQKez4lMcXjHfn,EN-GB,3,,1,,1,,2,1,4,2,1,-0.543475436,-0.73869892,3,2,2,2,2,4,2,4,2,2,4,2,3,2,2,3,3,3,3,3,2,4,4,5,5,4,3,-0.251067568,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-0.121858522,-0.065020417,0.627886187,0.596848136,-0.053608445,-0.648381688,22,1,,1,,1,,2.571428571,2.5,2.666666667,-0.235193858,-0.641087178,2,1,1
24,R_2V9eH1L5sN4di1C,TH,6,สาเหตุที่ร้องไห้เพราะว่า ไม่สามารถแก้ปัญหาในการทำงานได้ (ได้คะแนนงาน 0 คะแนน) ความรู้สึกก่,1,,4,ความรู้สึกสิ้นหวัง,2,1,2,2,2,-0.543475436,-0.02089899,4,0,5,4,3,5,3,3,5,3,5,4,5,3,2,5,3,3,4,3,2,2,4,1,1,2,1,-0.251067568,-0.347461324,0.55861097,-0.394937304,-0.617737195,-1.357155765,-0.065020417,-1.906568891,-2.06751807,-1.393064526,-1.629805847,22,1,,1,,9,ไทย,4.714285714,3,3.333333333,-0.861065994,-0.282187213,2,1,1
25,R_2QXKNkOlLV1SG3r,TH,2,Me and my girlfriend had to seperare from each other due to my education.,1,,1,,2,1,4,2,1,-0.543475436,-0.73869892,2,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,1,2,3,-0.251067568,-0.347461324,0.55861097,-0.394937304,0.3870703,-0.739507144,-1.217182201,-0.639341352,-2.06751807,-1.393064526,-0.648381688,22,1,,1,,9,Thailand,3,3,3,-0.613889082,-0.641087178,1,1,1
26,R_udAKzudrofhhuEh,EN-GB,6,"When i was 7 years old, I fell off of my bike and injured myself badly. I instinctively started crying because of the pain. I was a few streets away from my house so i had to walk home. Once i got home, my older sister helped me to bandage my wounds.",1,,4,Pain,1,1,4,1,1,-1.41951075,-0.73869892,4,NA,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,4,4,4,1,3,2,4,5,2,2,1.14149975,0.980019119,0.55861097,0.932408372,-1.62254469,-0.739507144,-1.217182201,-0.005727582,0.596848136,-1.393064526,-1.139093767,23,1,,1,,1,,1,2,1,-0.173430324,-1.079104835,2,1,1
27,R_3XmxEvnv22XbtQZ,EN-GB,4,"Struggling with university motivation and realising U didn't know what I wanted out of life. Was in my bedroom with my girlfriend and we'd had an argument about my lack of motivation to do an assignment. We were lying together after making up and I started crying when I realised I had no clue what I wanted out of life. I was annoyed before that she was getting angry over my lack of motivation, then I was sort of relieved afterwards. Comforted by my girlfriend",1,,2,,2,1,4,2,1,-0.543475436,-0.73869892,2,1,4,2,2,4,4,4,3,3,3,2,4,2,2,4,4,4,4,4,2,3,3,4,5,3,2,1.14149975,0.980019119,0.55861097,0.932408372,-0.617737195,-0.739507144,-0.641101309,-0.005727582,0.596848136,-0.723336485,-1.139093767,24,1,,1,,1,,3.142857143,3.25,2.666666667,0.03117117,-0.641087178,2,1,1
28,R_1Q0iaAAVZfJrQdH,EN-GB,3,"I was on the phone to my partner and I was feeling a bit upset because I was missing him and it had been quite a long time since we had seen each other (4 weeks). I was preparing to move and university pressure was building at the time. When I told him, he was a bit confused and was providing solutions, which made me feel misunderstood and poorly cared for. Beforehand, I was feeling a bit uneasy and uncomfortable as I am not used to the emotion of missing. After crying, he was my support and comfort as he began listening properly and engaged in the conversation. Afterwards, I felt significantly better - i felt elated.",1,,4,Discomfort,2,1,4,2,1,-0.543475436,-0.73869892,1,2,5,2,1,1,1,5,3,1,3,1,3,1,1,4,4,4,4,4,1,3,4,4,6,3,2,1.14149975,0.980019119,0.55861097,0.932408372,-1.62254469,-0.739507144,-0.065020417,-0.005727582,1.262939687,-0.723336485,-1.139093767,24,1,,1,,1,,3,2,1,0.052749801,-0.641087178,2,1,1
29,R_UKFWxxU6G9nsLjr,EN-GB,6,,1,,2,,1,3,4,2,2,-0.543475436,-0.02089899,4,1,4,4,1,1,2,2,4,2,4,4,4,3,1,4,3,3,4,4,4,3,1,3,3,2,2,-0.251067568,-0.347461324,0.55861097,0.932408372,1.391877796,-0.739507144,-1.793263093,-0.639341352,-0.735334967,-1.393064526,-1.139093767,24,1,,1,,10,Singapore,4,2.25,1,-0.377748782,-0.282187213,2,1,0
30,R_3PX2dT4nGsv3B7O,EN-GB,6,,1,,2,,2,1,4,5,1,2.084630508,-0.73869892,5,0,2,2,2,2,2,3,1,1,2,2,2,2,2,2,3,4,4,4,3,4,4,3,5,3,1,-0.251067568,0.980019119,0.55861097,0.932408372,0.3870703,-0.121858522,-0.065020417,-0.639341352,0.596848136,-0.723336485,-1.629805847,25,1,,1,,1,,1.857142857,2,2,0.002229701,0.672965794,2,1,1
31,R_x00gd9U2WzTnJjX,TH,4,,2,,1,,1,3,2,2,2,-0.543475436,-0.02089899,3,1,2,2,2,3,5,4,3,5,1,1,2,3,2,3,2,3,3,3,2,1,2,2,2,2,2,-1.643634886,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-1.974804387,-1.217182201,-1.272955121,-1.401426518,-1.393064526,-1.139093767,25,1,,1,,5,ออสเตรเลีย,2,4.25,2.333333333,-1.155826503,-0.282187213,2,1,0
32,R_DLWn05C0fOAGYJr,EN-GB,6,"It was when my grandmother died. I din't cry much because she was very old, but I cried thinking of the memories.",1,,1,,5,1,4,1,1,-1.41951075,-0.73869892,5,0,3,3,3,3,4,3,3,3,3,3,3,2,4,4,4,4,4,4,4,3,3,3,3,3,3,1.14149975,0.980019119,0.55861097,0.932408372,1.391877796,-0.739507144,-0.641101309,-0.639341352,-0.735334967,-0.723336485,-0.648381688,28,1,,1,,9,ireland,3.142857143,3,3.333333333,0.079764824,-1.079104835,2,1,1
33,R_3nSrxpDZDIvl3BZ,EN-GB,4,"I was going through a difficult patch with my partner. It was really hard, because we also lived together, and the relationship status was up in the air at that point. I had the amazing support of my good friends and supervisor, which helped a lot",1,,1,,2,1,4,3,2,0.332559879,-0.02089899,3,2,4,2,1,2,4,4,3,2,4,3,3,2,1,3,4,4,4,4,2,4,3,5,5,4,3,1.14149975,0.980019119,0.55861097,0.932408372,-0.617737195,-0.121858522,-0.641101309,0.627886187,0.596848136,-0.053608445,-0.648381688,29,1,,1,,1,,3.142857143,3,1.333333333,0.250416852,0.155830444,2,1,1
34,R_R35FNY7T3ilgn0R,EN-GB,5,"My wife is pregnant with our first child. Both of us were confirmed by doctor that we are thalassemia carrier. During the testing period, I was anxious and thinking a lot about our future as a family.  I felt relieved and calm after the testing results were out and counselled by genetic counsellor.",1,,1,,2,1,4,3,2,0.332559879,-0.02089899,3,9,4,3,3,4,4,4,3,5,4,4,4,5,3,4,3,3,3,3,2,2,2,2,2,2,1,-0.251067568,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-1.357155765,-1.217182201,-1.272955121,-1.401426518,-1.393064526,-1.629805847,29,1,,1,,1,,3.714285714,4.5,3.333333333,-1.017689788,0.155830444,2,1,1
35,R_1LtZo7Cy6Gq9NDi,EN-GB,6,"I was very drunk. It was one of the first times hanging out with a friend of mine after he'd got out of a mental health ward. He'd been kept there for a couple of weeks after his suicide attempt. I cried while telling him I was glad he was still alive, etc.",2,,4,A mix of all of the above and happiness as well I guess,4,1,4,1,1,-1.41951075,-0.73869892,4,0,2,2,2,1,5,5,4,1,4,3,3,5,2,4,3,3,3,2,2,4,4,3,3,3,2,-0.251067568,-0.347461324,-1.311794299,-1.722282979,-0.617737195,-0.121858522,-0.065020417,-0.639341352,-0.735334967,-0.723336485,-1.139093767,30,1,,1,,1,,3.142857143,4,1.666666667,-0.697666261,-1.079104835,2,1,1
36,R_1qUqZg7NhKSod14,EN-GB,3,I had heard from my father that my grandfather who lived in the UK had been given two weeks to live. I was upset as I could not afford to visit him and my younger sister was distraught so listening to her crying over the phone caused me to cry. It was actually speaking to her that triggered the tears and not the news which surprised me.,1,,1,,2,1,4,2,1,-0.543475436,-0.73869892,3,2,4,2,2,3,2,2,5,1,4,4,4,1,2,4,3,3,3,4,2,3,3,4,5,4,2,-0.251067568,-0.347461324,-1.311794299,0.932408372,-0.617737195,-0.739507144,-0.641101309,-0.005727582,0.596848136,-0.053608445,-1.139093767,30,1,,1,,3,United Kingdom,3.857142857,1.5,2.333333333,-0.325258375,-0.641087178,2,1,1
37,R_4T7BuSvD7GG9Oy5,EN-GB,6,,1,,2,,2,3,4,1,1,-1.41951075,-0.73869892,5,0,2,3,4,4,4,4,2,4,3,3,2,4,3,4,4,4,1,1,1,3,2,1,1,1,2,1.14149975,0.980019119,-5.052604837,-3.049628655,-1.62254469,-0.739507144,-1.217182201,-1.906568891,-2.06751807,-2.062792566,-1.139093767,30,1,,1,,3,Japan,2.714285714,4,3.666666667,-1.52144745,-1.079104835,2,1,0
38,R_3FJuQOwcHbC3Or7,EN-GB,5,,1,,2,,2,3,4,2,2,-0.543475436,-0.02089899,4,0,2,1,2,3,5,4,2,5,1,2,2,5,2,2,4,4,4,4,4,4,4,5,5,4,4,1.14149975,0.980019119,0.55861097,0.932408372,1.391877796,-0.121858522,-0.065020417,0.627886187,0.596848136,-0.053608445,-0.157669608,31,1,,1,,1,,1.714285714,4.75,2.333333333,0.530090303,-0.282187213,2,1,0
39,R_1FII1cdG4W1cRHO,EN-GB,5,"I was visiting my family in Singapore. I went with my mum to see my aunty who is in a hospital for mental patients. I was glad to see her, and she was happy to see us. But she started crying because no one wants to visit her and she misses her family. This made my mother and I cry. I felt sorry for her.",2,,1,,3,1,4,2,2,-0.543475436,-0.02089899,3,0,4,3,2,4,4,4,4,5,3,4,4,4,1,3,3,2,3,2,2,2,2,2,2,2,2,-0.251067568,-1.674941768,-1.311794299,-1.722282979,-0.617737195,-1.357155765,-1.217182201,-1.272955121,-1.401426518,-1.393064526,-1.139093767,33,1,,1,,3,New Zealand,3.571428571,4.25,2.333333333,-1.214427428,-0.282187213,2,1,1
40,R_3JeXl0PJF0juQV0,EN-GB,5,just got emotional with death of my father watching a movie,1,,1,,1,1,4,1,2,-1.41951075,-0.02089899,3,0,4,3,3,4,2,3,3,2,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,2,2,-0.251067568,-1.674941768,-1.311794299,-0.394937304,-0.617737195,-0.739507144,-0.641101309,-0.639341352,-0.735334967,-1.393064526,-1.139093767,34,1,,1,,5,India,3,2.5,3,-0.867083745,-0.72020487,2,1,1
41,R_1OwSEWXeI2Amh9m,EN-GB,6,Cat died and had saw how this affected my partner. We had each other but were both equally sad for the loss.,1,,1,,2,1,4,1,2,-1.41951075,-0.02089899,5,0,4,3,1,1,3,4,1,3,3,3,3,4,3,3,3,3,4,3,2,3,3,3,4,4,3,-0.251067568,-0.347461324,0.55861097,-0.394937304,-0.617737195,-0.739507144,-0.641101309,-0.639341352,-0.069243416,-0.053608445,-0.648381688,37,1,,1,,4,Nz,2.857142857,3.5,1.666666667,-0.349434161,-0.72020487,2,1,1
42,R_305WiGT1PnH2x8W,EN-GB,2,I was out at a club and my best friend said to the boy I like that he better not muck me around and then he got frustrated. She started Crying and then I took her to the bathrooms to talk about it and I started crying as well. I felt frustrated and disappointed. I felt supported cause I knew she was just trying to be a good friend and then we stayed together for the rest of the night.,1,,4,And frustration,2,1,4,4,1,1.208595193,-0.73869892,4,1,4,4,2,2,2,2,4,1,5,4,2,2,1,4,3,3,3,3,3,5,5,4,5,6,7,-0.251067568,-0.347461324,-1.311794299,-0.394937304,0.3870703,0.4957901,0.511060475,-0.005727582,0.596848136,1.285847635,1.31446663,18,2,,1,,1,,3.857142857,1.75,1.666666667,0.207281382,0.234948136,1,1,1
43,R_1kUNicSLqTvMXsg,EN-GB,3,"It was a month ago, before my 18th birthday. There was a huge family dispute that caused me to break down and know one really knows about it.",2,,1,,1,3,4,2,1,-0.543475436,-0.73869892,5,1,3,4,1,3,4,4,4,4,4,3,4,5,4,5,3,4,4,4,4,5,4,5,3,4,5,-0.251067568,0.980019119,0.55861097,0.932408372,1.391877796,0.4957901,-0.065020417,0.627886187,-0.735334967,-0.053608445,0.333042471,18,2,,1,,1,,3.857142857,4.25,2.666666667,0.383145783,-0.641087178,2,1,0
44,R_3RwovOVOs1ADMx0,EN-GB,2,"I was in my room and was frustrated about how a personal romantic relationship wasn't working out. before I cried I was upset as I had just seen the person who I was upset about and after this experience, I felt a bit more relieved as the crying helped me relieve some of the stress relating to the situation",1,,4,"All of the Above, Sadness, Frustration/powerlessness and anger",1,3,NA,3,3,0.332559879,0.69690094,3,8,4,2,2,3,5,4,4,5,4,4,4,4,1,4,4,4,4,4,1,6,6,5,5,6,6,1.14149975,0.980019119,0.55861097,0.932408372,-1.62254469,1.113438722,1.087141367,0.627886187,0.596848136,1.285847635,0.823754551,18,2,,1,,3,,3.714285714,4.5,2,0.684082738,0.514730409,1,NA,0
